# ccx tau_xx tau_yy tau_zz
1.89326 -5.85369 -1.82913e-05 0
1.9045 -5.84883 -1.87245e-05 0
1.91573 -5.84406 -1.88079e-05 0
1.92697 -5.83855 -2.12363e-05 0
1.93821 -5.83414 -1.83442e-05 0
1.94944 -5.82741 -2.3551e-05 0
1.96068 -5.82535 -1.32383e-05 0
1.97191 -5.81474 -3.3228e-05 0
1.98315 -5.81884 1.09275e-05 0
1.99438 -5.8037 -6.98815e-05 0
